,latitude,longitude,FID,slope
84,14.7559,121.2024,129,44
85,29.4748,119.2812,130,41
86,-8.2049,115.4104,131,-1
87,22.75,104.48,135,49
88,20.8482,92.4524,141,41
89,4.312,101.1519,144,40
90,7.8963,98.3095,145,43
91,25.4916,91.2698,148,36
92,25.0604,93.9877,150,57
93,27.7884,84.4866,151,72
94,33.7732,74.1011,153,49
95,2.95125996,99.05794408,154,5
96,20.1420567,97.71097728,157,32
97,36.8532,75.4377,158,58
98,27.9586,84.2805,161,74
99,36.23,111.38,162,37
100,32.677,109.0241,166,33
101,-8.198,115.1374,167,-1
102,8.4987,123.304,171,10
103,18.23,120.6,173,12
104,26.9226,107.3407,174,41
105,33.3893,75.203,175,66
106,27.5,90.5034,176,70
107,27.0605,88.255,178,63
108,17.5291,121.3267,182,40
109,27.8871,83.9704,184,51
110,34.166,73.1983,189,31
111,25.0985,94.3619,190,35
112,33.33875958,75.1921061,193,83
113,26.6378,114.1384,194,62
114,33.2609,75.244,196,78
115,-8.3251,115.087,197,-1
116,25.8833,91.2,198,41
117,-6.9197,106.9272,199,0
118,6.3667,116.4333,203,13
119,32.9778,130.8266,205,16
120,37.4138,127.5183,207,26
121,33.3308,75.1773,208,84
122,25.9365,99.3373,210,63
123,28.12,82.86,211,68
124,7.4239,80.6104,212,46
125,28.2134,83.9557,214,47
126,27.0987,93.816,215,18
127,10.0222,106.5408,217,1
128,30.2828,78.3041,220,69
129,28.3922,83.1913,221,80
130,19.069000000000006,72.8703,222,4
131,13.3125,123.7465,224,37
132,16.5702,120.5204,225,63
133,-7.2337,109.0605,229,1
134,-1.7853,116.0932,230,3
135,34.6113,74.9499,232,90
136,28.0063,83.7826,235,57
137,30.7333,78.4403,238,79
138,16.7667,120.7617,239,56
139,29.5311,81.9616,240,85
140,8.4441,98.5132,241,48
141,3.7944,113.6308,248,4
142,30.7198,77.1695,249,49
143,33.6303,74.4838,251,80
144,12.6445,75.605,253,26
145,30.262,79.2191,254,88
146,15.0275,74.1623,256,55
147,17.4303,73.5097,257,28
148,10.5979,123.478,259,23
149,11.9312,108.4652,262,34
150,28.2872,84.2015,267,82
151,26.09748244,91.8744337,272,38
152,27.02459801,88.43849551,274,70
153,23.5134,111.0843,275,25
154,0.7089,107.7503,277,-1
155,-7.3901,109.3613,280,0
156,26.8905,88.2789,283,63
157,6.5368,124.5618,284,8
158,36.1207,103.3173,288,38
159,15.7833,121.4667,290,10
160,33.7705,74.0967,293,47
161,22.75,104.6667,295,49
162,22.2931,103.9618,296,70
163,30.6463,79.5306,299,117
164,11.8006,125.3731,300,41
165,8.5061,98.6715,304,5
166,33.3376,75.1922,305,83
167,26.1844,91.7896,306,27
168,34.0823,74.056,308,66
169,30.4517,78.1443,312,68
170,6.132999999999999,125.0245,313,26
171,7.0859,124.1745,315,34
172,15.8294,78.0501,317,3
173,28.2265,82.553,319,66
174,27.1675,88.3651,320,67
175,32.7556,129.8735,321,33
176,27.5567,85.1173,323,73
177,25.9548,104.5178,325,43
178,25.6623,94.1072,326,39
179,10.0604,76.635,329,10
180,-7.1788,107.6012,331,26
181,30.28,109.48,332,22
182,11.8861,108.2058,334,32
183,16.7999,120.8211,337,48
184,30.2524,78.9228,338,74
185,12.89163444,74.88548779,341,15
186,30.9206,78.3276,345,95
187,28.2001,85.4611,346,121
188,34.4854,132.44,348,37
189,27.2644,88.1365,349,70
190,28.2741,83.7417,350,65
191,29.9111,109.5516,351,60
192,33.0086,74.9426,358,96
193,22.7662,104.9389,363,54
194,22.4254,91.8022,367,10
195,30.365,78.0641,368,18
196,16.5141,80.6058,369,29
197,34.2092,74.321,372,62
198,24.8,121.67,374,61
199,24.1077,94.0396,377,54
200,21.0324,105.7586,378,2
201,34.3427,73.4359,379,65
202,27.8426,85.3418,381,61
203,28.6363,77.3957,385,2
204,29.9,81.1333,391,108
205,15.5931,73.8119,393,17
206,32.7029,75.9568,394,64
207,11.3432,76.8285,396,88
208,29.1964,81.7557,397,70
209,35.7497,71.7059,398,84
210,5.7515,117.9802,400,18
211,10.2585,123.8196,401,27
212,21.71115327,92.60498572,403,61
213,22.50691804,93.60327648,404,54
214,22.18768049,94.41583979,405,45
215,22.53450242,96.97585008,406,32
216,20.93357648,92.43097442,407,42
217,20.60918598,92.55270296,408,36
218,20.67540998,92.53753987,409,45
219,20.80707997,93.15098714,410,32
220,20.79094775,93.12898838,411,25
221,20.74401062,93.16340036,412,24
222,20.56844437,100.0766994,413,37
223,20.61566694,99.966347,414,32
224,20.67242339,99.71436881,415,42
225,25.68345923,97.43710268,416,41
226,25.681094,97.44685813,417,55
227,25.68144526,97.44635604,418,54
228,25.67758473,97.45504602,419,63
229,21.20270136,92.69913165,420,52
230,21.210479,94.00209351,421,58
231,21.43123451,94.03922568,422,49
232,21.3732131,93.09760669,423,47
233,18.58841924,96.1456437,424,17
234,18.67625308,96.10416631,425,23
235,12.5128211,99.25916693,426,41
236,12.70102718,98.94968436,427,47
237,12.69804379,98.9466613,428,46
238,13.35708544,99.11720241,429,59
239,13.35752002,99.11830259,430,59
240,13.25186749,99.02800431,431,55
241,26.05263757,97.22355064,432,47
242,26.09144328,97.23225513,433,52
243,26.07097444,97.6990537,434,56
244,27.02259862,95.89027452,435,56
245,21.1055306,98.91286481,436,52
246,14.97724802,97.94430248,437,50
247,15.12889074,97.96131207,438,51
248,15.15330452,97.95392559,439,54
249,15.15216848,97.95265571,440,53
250,15.15100504,97.95217765,441,53
251,15.15201962,97.9354772,442,53
252,15.19381486,97.92339454,443,50
253,15.17889822,97.92853805,444,51
254,15.1775814,97.91106599,445,51
255,15.13760816,97.94287351,446,52
256,15.13657585,97.95329844,447,52
257,15.13736123,97.95555857,448,53
258,15.16291659,97.97818312,449,55
259,15.14017619,97.96994649,450,52
260,15.13764051,97.96816652,451,52
261,15.13522049,97.96540326,452,52
262,21.19314744,93.79518055,453,56
263,19.04288986,94.66901461,454,49
264,11.82228883,98.11843033,455,0
265,11.82524205,98.12243472,456,0
266,11.82556404,98.11535599,457,0
267,27.67978184,85.7300858,459,60
268,10.1160933,77.1496325,463,57
269,7.094308,125.60468,466,8
270,28.545124,83.647074,467,88
271,9.75,122.5,469,23
272,4.849,100.7599,471,46
273,28.4202,84.8996,472,110
274,35.3544,73.0208,473,85
275,-6.25,106.1,474,0
276,24.7679,93.4108,482,52
277,27.9706,83.397,483,58
278,28.1855,83.6527,486,60
279,-6.621,106.7306,490,0
280,32.8852,130.9915,494,55
281,18.25,105.686,495,11
282,27.7908,84.4783,498,68
283,25.318,94.0441,502,46
284,27.0165,88.2476,504,58
285,24.5938,72.7308,506,48
286,24.9926,93.4946,507,56
287,26.1665,91.7049,508,38
288,29.1657,81.5631,509,95
289,26.3335,94.5512,510,45
290,33.4372,75.2027,514,61
291,0.6185,122.848,517,12
292,2.7325,102.0987,520,48
293,26.7225,95.0281,522,44
294,29.5866,80.2154,524,41
295,23.8396,120.9876,525,86
296,24.6108,92.562,530,3
297,30.56,77.3,537,40
298,27.256,90.5257,539,79
299,3.1618,101.6983,540,15
300,24.0896,91.4663,541,10
301,6.0202,116.4955,542,58
302,16.8256,121.1444,548,51
303,27.4385,87.0898,549,66
304,27.8595,83.7711,551,71
305,-8.1431,111.2896,554,33
306,13.4,123.3667,555,4
307,34.209,74.3524,557,41
308,31.0766,77.3916,558,65
309,13.8758,124.3099,559,31
310,28.67,115.89,561,5
311,15.954,120.9766,563,53
312,18.7734,82.8555,568,25
313,17.4038,121.1891,569,62
314,16.95,122.03,571,15
315,26.443,111.792,572,15
316,26.0814,94.803,573,61
317,27.33,103.71,574,12
318,26.8366,88.0839,577,66
319,23.1333,106.4167,578,39
320,23.3572,92.7878,580,62
321,26.4333,94.8833,581,40
322,27.0599,88.4674,582,57
323,28.9012,118.512,583,28
324,-6.9092,106.8762,585,0
325,34.3752,106.7588,587,73
326,25.0666,98.8225,589,81
327,22.8833,104.5333,594,49
328,10.71,125.01,597,34
329,34.6758,73.0428,598,41
330,9.5988,76.5289,600,9
331,-2.516,140.5146,601,-1
332,27.5964,85.1114,604,70
333,10.3281,123.8538,609,44
334,28.3594,82.1279,610,50
335,31.563,77.9796,611,98
336,25.934,118.288,612,41
337,31.7093,76.9297,620,52
338,33.2361,75.2441,621,68
339,7.902,123.7746,623,3
340,1.9345,99.5577,625,50
341,22.533,92.899,629,55
342,26.1699,91.7986,631,28
343,8.306127,124.265675,632,30
344,27.357968,85.975127,643,64
345,31.01260519,78.88449525,649,100
346,7.67449408,125.86039048,656,16
347,29.48397512,81.03043256,662,77
348,29.39496837,81.37064669,666,61
349,11.339839,76.84110600000002,669,92
350,10.342048,123.861028,670,50
351,29.16952271,81.57140363,676,107
352,28.84665,112.36962,678,3
353,26.89487026,88.35197240000002,681,63
354,13.22925617,123.61008783,683,16
355,37.0903,108.5845,688,39
356,31.1011,77.1793,689,59
357,-6.9237,107.0,691,-1
358,28.058000000000003,83.3588,692,77
359,39.4394,141.192,693,13
360,6.2189,124.6815,694,35
361,18.7687,73.3679,695,62
362,34.0901,74.0256,697,66
363,28.7565,103.4583,698,103
364,27.0,86.71,700,68
365,8.1112,98.3153,703,20
366,-6.2899,145.8593,705,-1
367,-6.9085,106.9284,706,0
368,24.7844,115.0278,707,20
369,10.1833,123.6833,708,45
370,32.5655,76.1201,710,69
371,28.3667,82.1667,711,56
372,24.992,105.8107,714,51
373,7.33288064,80.61756992,719,17
374,33.41767901,131.09763285,720,51
375,26.07821691,94.72071068,722,58
376,36.11529819,74.24484991,723,101
377,30.22385706,67.12785724,725,24
378,27.23279809,88.59292517,730,51
379,18.73761899,94.69713384,733,47
380,18.73105803,94.71637224,734,44
381,18.76459884,94.74616486,735,47
382,18.77507529,94.67761186,736,44
383,18.7554012,94.68796731,737,45
384,18.74500612,94.72835102,738,46
385,18.745407,94.7232011,739,45
386,18.77050708,94.7073285,740,43
387,18.06853011,95.00359748,741,34
388,18.21319019,94.71454324,742,52
389,13.41309343,99.12413442,743,66
390,9.9874655,98.24907386,744,48
391,14.97394512,97.94169791,745,49
392,23.90468098,93.65572622,746,55
393,23.89408417,93.66077546,747,54
394,20.82222531,92.84830589,748,51
395,12.75380833,123.90842236,749,21
396,11.329547,76.801586,753,66
397,23.65637182,93.02746602,756,57
398,27.61274095,85.09556375,757,46
399,33.43537575,75.19067397,759,63
400,27.56884999,85.50492198,763,48
401,10.48486923,125.00194608,768,37
402,-7.0047229999999985,110.422311,771,9
403,27.104022,93.61156568,772,57
404,12.589702,101.418577,774,16
405,26.96437841,92.78260587,775,16
406,27.8667,83.4833,776,53
407,3.1082,101.756,777,35
408,7.82442677,126.14891783,782,50
409,8.577,124.785,785,40
410,-2.6857,118.8947,789,-1
411,6.4824,125.0439,793,48
412,9.5009,98.9984,794,10
413,-6.3494,147.1646,795,-1
414,31.6817,77.1209,799,98
415,35.19630407,74.03512985,800,69
416,27.3414,86.7506,801,71
417,7.36446924,126.03537778,802,55
418,22.88911289,93.19829091,808,53
419,18.6052885,94.83698413,809,45
420,18.73010744,94.69609642,810,47
421,18.71279824,94.69475169,811,48
422,18.71528742,94.69627226,812,48
423,18.70335355,94.67212073,813,50
424,18.77181823,94.68885221,814,45
425,18.73330399,94.68526136,815,48
426,33.5692,130.6789,821,31
427,16.4041,120.5956,823,27
428,-6.9675,107.888,824,-1
429,34.2946,75.4832,825,85
430,-6.55691,107.796209,839,-1
431,32.645972,72.754685,842,34
432,5.33891,100.24363,844,43
433,30.782834,111.160816,845,88
434,29.420147,80.244129,870,73
435,12.394284,122.45898,871,51
436,20.652251,105.156024,872,67
437,31.873207,72.676426,875,22
438,15.0376,108.4489,891,29
439,11.2777,77.1236,894,2
440,29.11803174,80.67774011,897,56
441,33.1467,75.5488,900,66
442,7.1904,124.5335,904,4
443,29.2983,80.7651,906,58
444,23.7,113.4,908,7
445,33.2706,75.7702,909,95
446,32.664,130.6507,915,25
447,33.1261,75.4481,916,69
448,13.8193,124.1754,918,43
449,16.95,121.045,920,55
450,27.1344,88.4575,922,64
451,30.6014,78.3449,925,70
452,7.19283651,125.96903164,926,56
453,37.3888,69.8255,927,18
454,27.8458,95.2253,931,2
455,33.33280503,75.21320384,933,81
456,5.984,116.5742,935,45
457,20.7844,97.0235,937,38
458,28.0054,82.68,940,56
459,9.2087,125.5901,942,55
460,-0.4834,100.3387,944,22
461,33.1078,74.7756,951,85
462,25.1701,121.5722,956,52
463,34.5281,103.7853,957,55
464,27.8315,85.1638,960,68
465,22.2805,109.9731,961,18
466,16.3639,120.6769,962,58
467,27.9937,82.4827,963,4
468,35.2169,76.4243,964,65
469,25.8376,94.5234,966,50
470,27.059,88.4694,968,55
471,26.6455,101.2607,971,49
472,31.0304,103.1831,972,73
473,-5.8457,144.2004,974,-1
474,18.7686,73.3678,975,62
475,18.7828,82.7935,979,15
476,-6.7564,107.4983,980,-1
477,22.0104,91.9538,984,7
478,30.7007,77.8644,987,58
479,7.4695,80.6121,988,55
480,-7.2732,109.3203,990,0
481,-7.5458,112.2273,991,0
482,36.1736,74.3001,992,98
483,13.0785,123.8347,995,40
484,3.1028,101.6899,1001,12
485,3.1523,101.6832,1003,15
486,8.204811900000001,125.30278098,1005,26
487,14.8009,74.118,1007,32
488,19.3062,101.1732,1008,46
489,25.1718,93.123,1009,50
490,27.5509,88.6475,1010,90
491,27.0366,88.26299999999998,1011,61
492,29.8901,95.5728,1012,78
493,25.8509,97.4381,1013,49
494,15.3904,73.8182,1014,14
495,-3.7027,128.1777,1016,0
496,30.4305,78.0803,1018,60
497,-6.7022,106.981,1025,0
498,27.0816,88.4397,1033,63
499,-6.6279,107.3461,1034,-1
500,27.9196,83.8799,1043,68
501,3.0994,101.677,1047,17
502,30.24147729,78.89773782,1059,68
503,7.513007000000001,125.917248,1061,24
504,6.76980633,125.18155173,1063,4
505,24.353826,102.60062632,1064,33
506,-8.5073,116.662,1066,-1
507,27.83196401,84.54704621,1070,85
508,23.16100191,105.42448925,1071,62
509,34.27703802,75.46743478,1072,91
510,-6.311708,106.801076,1073,0
511,24.89456743,121.73342794,1074,49
512,30.56504675,79.56163208,1075,112
513,25.15246863,92.94670614,1076,44
514,9.30978672,123.21091118,1077,57
515,22.59420297,92.16404889,1079,27
516,3.01313547,101.77077236,1081,11
517,32.23843313,78.06239076,1084,66
518,31.45206,78.401303,1085,113
519,22.039752,103.993894,1086,73
520,28.107142,84.30797700000002,1089,58
521,19.41286968,73.28423263,1092,16
522,29.0833,81.3333,1099,54
523,1.4808,124.868,1100,15
524,29.4085,80.1327,1102,51
525,34.6644,73.4637,1103,79
526,32.08059703,103.66530845,1104,89
527,4.5864,115.1648,1109,28
528,3.19,101.699,1111,6
529,27.278,116.036,1112,44
530,32.6987,75.0582,1113,27
531,27.8122,89.9019,1114,90
532,35.273,72.983,1120,98
533,24.7505,93.4221,1121,57
534,6.4737,125.0676,1122,42
535,35.2507,137.8163,1123,60
536,3.61508188,125.49119308,1125,48
537,8.4863,76.9517,1128,6
538,15.9949,121.6164,1131,51
539,6.754,80.9514,1132,58
540,22.6368,92.1453,1133,27
541,22.3496,91.8138,1135,7
542,29.6088,119.0419,1136,29
543,28.3323,83.7438,1138,75
544,-7.0528,108.1156,1140,27
545,19.0949,72.8899,1145,12
546,38.7175,141.0151,1146,13
547,10.3228,76.4319,1147,45
548,21.6989,74.172,1149,58
549,3.185,101.7673,1152,36
550,21.2331,103.9847,1156,36
551,29.5177,106.5361,1157,23
552,28.4333,83.1202,1161,74
553,24.4638,92.4943,1163,25
554,6.2793,124.7126,1166,40
555,33.1617,75.3278,1167,84
556,3.8125,103.3724,1168,30
557,16.8937,120.7783,1169,51
558,10.0884,124.981,1172,31
559,24.8669,92.3576,1173,4
560,27.5862,104.8613,1174,36
561,9.8964,123.42,1175,26
562,11.8895,119.939,1181,31
563,27.2333,94.1167,1182,3
564,9.234,126.1696,1183,36
565,6.686,80.3874,1184,31
566,16.7221,121.0046,1186,58
567,12.82402778,75.21163889,1187,13
568,29.4469,81.4867,1188,78
569,27.4159,87.6909,1189,80
570,24.3527,94.3429,1192,36
571,32.2067,76.3641,1194,61
572,26.9282,88.4553,1197,62
573,9.7534,122.4786,1203,23
574,12.9711,76.2728,1204,6
575,25.08,75.72,1205,49
576,6.05034178,116.55156466,1206,98
577,11.7148,125.0704,1207,29
578,27.9715,85.9623,1209,91
579,-6.7663,146.4261,1210,-1
580,22.2666,104.07,1214,63
581,34.5625,73.8319,1215,78
582,26.6057,118.7483,1216,33
583,16.3562,120.7084,1218,62
584,24.5202,92.7239,1222,19
585,24.9635,121.5444,1223,34
586,11.2993,76.9354,1227,6
587,31.5375,77.3737,1230,66
588,32.5659,75.0944,1231,14
589,29.36,80.126,1233,55
590,25.0699,109.2608,1237,26
591,26.6017,106.657,1239,29
592,27.0377,88.3603,1244,56
593,6.4564,124.8763,1245,25
594,7.21795331,126.15138371,1250,58
595,27.2084,88.4909,1259,66
596,11.4816,75.9957,1260,23
597,7.2558,80.3019,1262,33
598,15.7051,74.2197,1264,15
599,16.93911427,73.47458940000001,1267,24
600,28.2724,83.7412,1268,65
601,35.3063,75.6414,1271,70
602,13.7442,123.5378,1277,40
603,14.0391,124.1621,1279,27
604,14.380999999999998,121.0254,1280,7
605,16.2882,120.5875,1281,73
606,28.2405,116.6619,1282,29
607,19.1993,73.0109,1287,48
608,-2.233,101.4173,1289,65
609,27.2317,86.822,1292,52
610,-4.8386,119.6038,1294,66
611,-1.4369999999999998,119.9833,1296,63
612,30.4043,79.3308,1297,81
613,32.5764,75.8466,1301,43
614,31.1066,77.209,1304,63
615,34.11901266,73.87646407,1305,68
616,19.2675,104.8433,1306,47
617,28.3685,82.3731,1307,73
618,8.5138,123.3022,1308,7
619,23.9111,106.6145,1310,30
620,10.3177097,123.84752159,1312,41
621,32.36079826,77.23083056,1318,64
622,35.8562,74.5101,1322,78
623,-0.9672,100.4322,1323,7
624,31.8833,78.6167,1325,88
625,24.9356,93.8443,1326,26
626,19.0811,73.0226,1328,34
627,18.9774,72.8102,1332,7
628,27.7625,83.5165,1335,68
629,29.57990613,80.50476155,1336,68
630,16.4016,120.5967,1337,27
631,-1.2645,116.831,1341,21
632,26.5836,93.0038,1342,10
633,27.0257,88.4301,1344,68
634,26.908,87.9258,1348,51
635,28.2465,85.3644,1349,101
636,38.0,73.0,1352,65
637,28.2568,85.3679,1355,103
638,33.9639,74.9597,1357,9
639,38.3795304,71.44957392,1362,70
640,27.7657,84.4694,1363,42
641,27.05,90.8,1374,93
642,28.2656,83.8188,1376,61
643,26.74452462,88.40011959,1377,2
644,27.2948,87.9377,1380,81
645,25.0477,92.801,1383,56
646,32.8091,110.1125,1385,58
647,21.3161,107.3397,1387,43
648,19.0833,101.0833,1389,54
649,33.0289,74.9489,1391,113
650,25.4075,110.375,1392,13
651,30.9086,77.1103,1393,51
652,6.7631,81.0209,1394,64
653,16.4357,120.5763,1395,32
654,31.0722,77.1402,1396,63
655,24.7543,93.5039,1398,82
656,16.5127,120.6336,1399,42
657,5.9012,116.2113,1405,41
658,28.3328,83.3742,1407,82
659,30.4581,68.4119,1409,3
660,3.2294,101.711,1411,25
661,36.6952,139.8042,1413,22
662,-0.6409,100.4419,1414,30
663,24.5646,120.8922,1415,36
664,-6.9031,106.9516,1416,0
665,15.16066508,97.95220324,1420,54
666,16.292,120.5941,1422,73
667,23.4462,112.1351,1424,23
668,31.1003,77.1751,1425,58
669,29.1917,80.8708,1426,65
670,5.3737,100.3049,1429,40
671,7.3667,125.85,1431,16
672,-5.8673,145.0996,1432,-1
673,25.4053,97.8542,1435,52
674,31.5728,77.8561,1436,105
675,23.7505,113.0005,1441,48
676,14.7395,74.2566,1442,44
677,28.57,83.45,1445,89
678,28.2635,83.6118,1447,77
679,16.4185,120.6003,1448,29
680,30.4,79.34899999999998,1451,83
681,27.137,103.95,1453,73
682,15.8,107.88,1454,46
683,5.7884,95.2897,1456,43
684,27.7768,85.8888,1458,76
685,15.5063,73.8362,1459,14
686,4.8525,100.7943,1460,51
687,6.9517,121.9823,1461,24
688,30.7,77.08,1463,52
689,22.7176,92.8416,1464,56
690,35.2959,73.21,1467,85
691,23.37,116.7035,1472,5
692,31.0851,77.1665,1473,53
693,31.5593,77.9277,1478,96
694,30.38069426,78.47049965,1480,65
695,36.1444,137.2532,1481,23
696,26.9599,88.26799999999999,1482,56
697,8.75767285,104.99137089,1484,1
698,37.513392,111.145575,1485,29
699,25.907233,91.881892,1486,44
700,24.54070891,121.86766017,1488,65
701,23.73354779,92.74744512,1489,57
702,31.72415448,76.93732121,1490,54
703,8.68962222,104.87070012,1491,1
704,16.574445,120.732714,1494,68
705,30.922325,78.681379,1495,86
706,33.08146902,75.29750088,1496,48
707,32.26186432,78.0685005,1497,78
708,27.04768643,93.61899644,1498,33
709,23.4946,111.2768,1501,31
710,15.4014,73.8277,1503,12
711,10.37,123.97,1504,8
712,14.2282,121.6979,1505,30
713,25.5728,91.885,1512,31
714,16.9645,120.8147,1513,48
715,28.8389,82.2873,1515,90
716,21.5782,103.3984,1516,53
717,14.2138,121.0105,1527,12
718,28.4115,84.7943,1528,107
719,29.477,80.3491,1529,78
720,5.4175,100.2676,1530,45
721,28.715,113.587,1532,9
722,-7.9819,112.6265,1533,0
723,32.1797,77.1947,1535,73
724,7.70427116,126.14197592,1536,39
725,29.3908,79.4552,1540,71
726,25.9703,91.8584,1542,40
727,-6.622000000000001,106.7161,1544,0
728,3.1588,101.7575,1546,30
729,6.8894,81.0402,1548,48
730,34.0876,74.0225,1549,66
731,-1.2247,116.8785,1550,12
732,34.514,104.149,1551,46
733,28.2887,83.8974,1552,67
734,29.3631,115.4786,1554,16
735,26.9226,107.3407,1556,41
736,29.9531,78.1514,1557,34
737,8.9176,124.8974,1565,46
738,6.8426,125.4137,1566,21
739,26.6842,100.7508,1567,30
740,16.4064,120.5583,1569,52
741,27.3702,88.7334,1570,66
742,30.0428659,101.02804739,1571,84
743,25.3098633,94.48214677,1574,53
744,36.66335732,74.87601106,1575,68
745,10.57,123.72,1576,18
746,21.23699085,92.10434768,1577,7
747,22.77992936,105.15936626,1578,68
748,4.673832,101.489871,1592,46
749,-7.5464600000000015,110.43748527,1593,0
750,18.72458897,94.72714691,1600,43
751,11.98718532,98.95064103,1601,41
752,13.09084873,98.86139503,1602,66
753,32.5282,75.1199,1603,5
754,14.836,120.2761,1605,30
755,28.2317,84.8756,1609,103
756,18.7919,97.9203,1610,19
757,1.1837,124.53,1613,24
758,11.7,125.0667,1615,28
759,30.4041,79.3276,1618,80
760,10.2112,123.758,1626,36
761,-3.6511,139.5928,1632,10
762,21.0233,107.293,1633,39
763,27.66868142,86.04142973,1634,62
764,24.2315,92.6755,1635,50
765,6.3398,116.4461,1639,12
766,25.83762589,93.94633448,1641,47
767,7.9588,123.548,1643,17
768,27.0723,102.7588,1646,60
769,31.0343,78.7248,1647,98
770,13.3207,123.2658,1648,33
771,24.652,121.6175,1650,44
772,6.7374,80.9568,1651,50
773,32.99,75.1892,1654,52
774,34.4989,73.0549,1657,37
775,15.4546,108.6849,1658,7
776,33.0107,74.9397,1659,94
777,16.8828,120.7802,1661,54
778,35.4781,74.5049,1662,72
779,28.4763,83.5309,1664,85
780,3.0732,101.6637,1666,12
781,-0.0406,100.0614,1668,16
782,16.5157,80.6525,1670,29
783,33.29475374,74.56644559,1675,54
784,20.8605,92.489,1676,17
785,23.7131,92.7362,1677,56
786,5.9437,116.0946,1679,18
787,28.2632,83.3482,1680,98
788,17.0661,73.5027,1682,23
789,31.0358,78.8578,1683,100
790,29.132062,81.811777,1684,77
791,6.51858725,80.18135876,1685,33
792,30.995694,78.936314,1686,112
793,27.767046,84.46974499999997,1687,46
794,23.73478778,92.72124394,1695,53
795,22.7519,120.781,1696,87
796,-1.601,123.5476,1698,0
797,-0.2751,100.2804,1700,66
798,7.9007,123.7741,1702,3
799,16.5141,80.6053,1705,29
800,26.8797,87.9172,1707,47
801,-3.1448,119.7979,1709,64
802,13.9716,121.9162,1712,36
803,26.1771,91.7599,1715,26
804,-0.936,122.1815,1718,58
805,30.0694,101.44,1719,57
806,34.0942,74.0226,1720,67
807,27.0409,103.4086,1721,96
808,11.7095,76.074,1724,13
809,29.6131,79.494,1726,50
810,25.6115,96.2907,1727,30
811,2.9523,98.9765,1729,29
812,26.1699,94.4922,1730,48
813,25.6172,96.3005,1731,29
814,24.1293,92.6921,1733,48
815,33.3018,75.1793,1738,84
816,30.9015,78.7756,1740,86
817,30.056,70.6369,1741,1
818,25.15,121.55,1745,50
819,27.5,85.35,1750,72
820,27.7165,85.4279,1751,26
821,11.1302,125.2603,1754,28
822,34.6551,133.9195,1759,5
823,25.1472,91.7483,1762,5
824,-6.8911,107.5782,1769,-1
825,28.8687,82.1707,1773,68
